symbol,symbol_raw,name,type,exchange
INTB3.SA,INTB3,Intelbras SA Industria de Telecomunicacao Eletronica Brasileir,stock,
CPFE3.SA,CPFE3,CPFL Energia S.A.,stock,
GUAR3.SA,GUAR3,Guararapes Confeccoes S.A.,stock,
CMIN3.SA,CMIN3,CSN Mineracao SA,stock,
OIBR3.SA,OIBR3,Oi S.A.,stock,
GOAU4.SA,GOAU4,Metalurgica Gerdau SA Pfd,stock,
CSMG3.SA,CSMG3,Companhia de Saneamento de Minas Gerais,stock,
BRAP4.SA,BRAP4,Bradespar SA Pfd,stock,
YDUQ3.SA,YDUQ3,YDUQS Participacoes SA,stock,
LWSA3.SA,LWSA3,LWSA S.A.,stock,
ENGI11.SA,ENGI11,Energisa SA Units Cons of 1 Sh + 4 Pfd Shs,fund,
SBSP3.SA,SBSP3,Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,stock,
SRNA3.SA,SRNA3,Serena Energia SA,stock,
DXCO3.SA,DXCO3,Dexco SA,stock,
PETZ3.SA,PETZ3,Pet Center Comercio e Participacoes,stock,
GRND3.SA,GRND3,Grendene S.A.,stock,
ROXO34.SA,ROXO34,Nu Holdings Ltd. Shs -A- Sponsored Brazilian Depositary Receipt Repr 0.16667 Sh -A-,bdr,
MLAS3.SA,MLAS3,Multi Group S.A,stock,
SEQL3.SA,SEQL3,Sequoia Logistica e Transportes SA,stock,
VVEO3.SA,VVEO3,CM Hospitalar SA,stock,
AMER3.SA,AMER3,Americanas SA,stock,
HYPE3.SA,HYPE3,Hypera S.A.,stock,
KEPL3.SA,KEPL3,Kepler Weber SA,stock,
ALOS3.SA,ALOS3,Allos S.A.,stock,
QUAL3.SA,QUAL3,Qualicorp Consultoria e Corretora de Seguros S.A.,stock,
JBSS32.SA,JBSS32,JBS N.V. Shs Sponsored Brazilian Depositary Receipt Repr 1 Sh A,bdr,
TSLA34.SA,TSLA34,"Tesla, Inc. Unsponsored Brazilian Depositary Receipt Repr 0.03125 Sh",bdr,
VIVA3.SA,VIVA3,Vivara Participacoes SA,stock,
STBP3.SA,STBP3,Santos Brasil Participacoes SA,stock,
TEND3.SA,TEND3,Construtora Tenda SA,stock,
RDOR3.SA,RDOR3,Rede D'Or Sao Luiz SA,stock,
NEOE3.SA,NEOE3,Neoenergia SA,stock,
AZZA3.SA,AZZA3,Azzas 2154 SA,stock,
ARML3.SA,ARML3,Armac Locacao Logistica e Servicos SA,stock,
FNAM11.SA,FNAM11,Fundo de Investimento da Amazonia Cotas,fund,
PGMN3.SA,PGMN3,Empreendimentos Pague Menos SA,stock,
ODPV3.SA,ODPV3,OdontoPrev S.A.,stock,
SLCE3.SA,SLCE3,SLC Agricola S.A.,stock,
GGPS3.SA,GGPS3,GPS Participacoes e Empreendimentos SA,stock,
TAEE11.SA,TAEE11,Transmissora Alianca De Energia Eletrica S.A. Unit,fund,
TOTS3.SA,TOTS3,TOTVS S.A.,stock,
HBSA3.SA,HBSA3,Hidrovias do Brasil SA,stock,
HPDP11.SA,HPDP11,Hedge Shopping Parque Dom Pedro Fundo de Investimento Imobiliario,fund,
TTEN3.SA,TTEN3,Tres Tentos Agroindustrial SA,stock,
CPLG11.SA,CPLG11,Capitania Logistica Fundo de Investimento Imobiliario,fund,
SBFG3.SA,SBFG3,Grupo SBF S.A.,stock,
CASH3.SA,CASH3,Meliuz SA,stock,
ITLC34.SA,ITLC34,Intel Corporation Shs Unsponsored Brazilian Depository Receipt Repr 0.1667 Sh,bdr,
IGTI11.SA,IGTI11,Iguatemi SA Units Cons of 1 Sh + 2 Pfd Shs,fund,
EZTC3.SA,EZTC3,EZ TEC Empreendimentos e Participacoes SA,stock,
INBR32.SA,INBR32,"Inter & Co., Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh",bdr,
MXRF11.SA,MXRF11,Maxi Renda Fundo de Investimento Imobiliario Cotas,fund,
CAML3.SA,CAML3,Camil Alimentos SA,stock,
GARE11.SA,GARE11,Fundo de Investimento Imobiliario Guardian Real Estate,fund,
SYNE3.SA,SYNE3,Syn Prop e Tech SA,stock,
LJQQ3.SA,LJQQ3,Lojas Quero-Quero SA,stock,
SMAL11.SA,SMAL11,iShares BM&FBOVESPA Small Cap Index Fund,fund,
MDNE3.SA,MDNE3,Moura Dubeux Engenharia SA,stock,
MYPK3.SA,MYPK3,Iochpe Maxion S.A.,stock,
BRSR6.SA,BRSR6,Banco do Estado do Rio Grande do Sul SA Pfd Series B,stock,
ALPA4.SA,ALPA4,Alpargatas SA Pfd,stock,
SAPR4.SA,SAPR4,Companhia de Saneamento do Parana - Sanepar Non-Cum Perp Pfd Registered Shs,stock,
JSLG3.SA,JSLG3,JSL S.A.,stock,
SAPR11.SA,SAPR11,Companhia de Saneamento do Parana - Sanepar Units Cons of 1 Sh + 4 Pfd Shs,fund,
MELK3.SA,MELK3,Melnick Desenvolvimento Imobiliario SA,stock,
M2ST34.SA,M2ST34,Strategy Inc -A- Unsponsored BDR,bdr,
XPBR31.SA,XPBR31,XP Inc. Shs A Unsponsored Brazilian Depositary Receipt Repr 1 Sh A,bdr,
JALL3.SA,JALL3,Jalles Machado SA,stock,
